iter	prior	likelihood	posterior	prior_A	|A|	#indels	|indels|	#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/#indels	P1/|indels|	P1/#substs	Scale[1]*|T|	|T|	rs07:log_rate	rs07:mean_length	Rates.gamma:alpha	hky85:kappa	hky85:pi[A]	hky85:pi[C]	hky85:pi[G]	hky85:pi[T]	scale[1]	scale1
45	-44.508432821140161	-3822.824123852140474	-3867.332556673280578	-1.834789866696671	1140	0	0	577	-3822.824123852140474	-1.834789866696671	1140	0	0	577	0.715294525525697	0.899330604380898	-8.414816592082948	4.361512769859633	0.24270850639537497	16.593352326334525	0.2807332232072069	0.30888489374246764	0.1323739835884486	0.2780078994618769	0.7953632646785194	0.7953632646785194
46	-53.583156424241906	-3816.262555882819925	-3869.845712307062058	-3.355139470389688	1140	0	0	577	-3816.262555882819925	-3.355139470389688	1140	0	0	577	1.004267215785928	0.748651740563076	-7.763327910393904	10.7881500056427	0.22029395905818092	22.842956744253545	0.2807332232072069	0.30888489374246764	0.1323739835884486	0.2780078994618769	1.3414344232080433	1.3414344232080433
47	-60.825524396261052	-3809.619774117257748	-3870.445298513518992	-2.685445119109012	1140	0	0	577	-3809.619774117257748	-2.685445119109012	1140	0	0	577	0.975935866983151	1.646549527667213	-7.941080646273811	6.63208726540854	0.22291638829994248	22.28056983127405	0.2803582240530561	0.3084722900165528	0.12739026946511808	0.283779216465273	0.592715767478814	0.592715767478814
48	-44.372167872727942	-3826.411852529617590	-3870.784020402345504	-1.630615845961007	1140	0	0	577	-3826.411852529617590	-1.630615845961007	1140	0	0	577	0.842828195080839	0.710426018082008	-9.360770558682002	4.327482843060118	0.2546665154319686	17.17771773951719	0.2915863025330424	0.3110182341373212	0.12816746336140397	0.26922799996823243	1.186370112620998	1.186370112620998
49	-47.077962240646507	-3826.130574879789492	-3873.208537120436176	-1.874406189918062	1140	0	0	577	-3826.130574879789492	-1.874406189918062	1140	0	0	577	0.889536359243326	0.983149672002250	-9.037650446045419	5.118441827951606	0.21847165146284872	17.471289166261943	0.28834215300565547	0.30755788758290453	0.13786735353843366	0.26623260587300634	0.904782236698229	0.904782236698229
50	-55.301660669074920	-3823.420081795909027	-3878.721742464983890	-3.209619918324009	1140	0	0	578	-3823.420081795909027	-3.209619918324009	1140	0	0	578	0.827686327321873	1.414245510468897	-6.986788006470501	4.323062696564571	0.2510053359354438	19.33819103812787	0.3034866544774813	0.2861503281961012	0.14000412984757638	0.2703588874788412	0.5852493935423216	0.5852493935423216
51	-53.464021733087250	-3810.950156427691581	-3864.414178160778647	-3.826758785958503	1140	0	0	575	-3810.950156427691581	-3.826758785958503	1140	0	0	575	0.802990544441361	0.853145507866589	-7.263457024049538	12.666971347390446	0.21949066847482085	21.35790541138586	0.3034866544774813	0.2861503281961012	0.14000412984757638	0.2703588874788412	0.9412117124654995	0.9412117124654995
52	-53.534525284944458	-3822.882022228302503	-3876.416547513246769	-4.373852377338817	1140	0	0	575	-3822.882022228302503	-4.373852377338817	1140	0	0	575	0.924035178172388	1.025442392258076	-7.055255310134739	12.825713343196401	0.24602259197487622	19.658009347778272	0.2873693342714816	0.29844111553293845	0.1413096334676896	0.2728799167278903	0.9011088142529546	0.9011088142529546
53	-58.552954518338915	-3808.830742463542265	-3867.383696981881258	-4.377278543962632	1140	0	0	575	-3808.830742463542265	-4.377278543962632	1140	0	0	575	0.865237138400995	0.943785779027118	-6.831845430117912	9.439833309617473	0.23626894922230204	23.442963297883843	0.2960643342716248	0.299604238828856	0.14335891720219418	0.26097250969732494	0.9167728075887162	0.9167728075887162
54	-59.908116541463421	-3808.415688742637030	-3868.323805284100672	-2.859013991641373	1140	0	0	575	-3808.415688742637030	-2.859013991641373	1140	0	0	575	0.853151236609232	0.918770664189202	-7.824519755744994	7.9972393798723544	0.2774183192658248	24.101911677665814	0.290395099950513	0.29386722009035166	0.14061378650065395	0.27512389345848143	0.9285791001632843	0.9285791001632843
